Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
2023-04-19,788.4407348632812,790.6181404482337,784.3937211551915,788.1094206815565,24741168
2023-04-20,791.3754272460938,794.002423833816,788.7720629382435,791.2807247846998,32922716
2023-04-21,792.6535034179688,793.7658385477291,787.2811171507625,790.0028164885751,20128618
2023-04-24,799.067138671875,800.6291224968062,792.4167034896188,798.5227873377768,35675852
2023-04-25,787.7070922851562,798.8541908386393,786.6420795569525,798.8541908386393,50353068
2023-04-26,791.328125,792.8427866144116,783.376007072747,785.7427019581631,27392750
2023-04-27,795.6828002929688,797.6944908945422,788.5117034159383,790.7127411596693,47790392
2023-04-28,798.8069458007812,800.4163100797197,790.4761903211897,797.4342510399031,27916272
2023-05-02,798.6412353515625,804.2029686544997,796.1562055779098,799.3275537958391,32221184
2023-05-03,801.4338989257812,802.7829034515152,795.0438227485433,797.5524846534473,29407270
2023-05-04,817.8351440429688,820.9828021558743,798.5702121515963,798.5702121515963,56854638
2023-05-05,769.4835815429688,786.1924141095578,767.8032049269116,775.8026458391606,62770416
2023-05-08,778.3823852539062,781.1750972322802,771.5426590269382,773.909354300027,37244524
2023-05-09,778.4059448242188,783.8493430397727,776.2522293745058,780.9619868467801,43688938
2023-05-10,782.0032958984375,783.2103333766557,773.009855524588,778.4059313050248,46340550
2023-05-11,782.5240478515625,798.9962689250709,780.6543818274131,788.1804838313546,35734618
2023-05-12,789.434814453125,791.8015094745331,778.287657790037,779.5893400518114,22478760
2023-05-15,793.221435546875,795.5644402371944,788.1566741133377,791.4227244245658,18512260
2023-05-16,788.6732177734375,800.4030139627808,787.0932626645074,800.4030139627808,32722086
2023-05-17,784.4361572265625,789.9659421992638,778.1643181013914,789.9659421992638,30466868
2023-05-18,787.572021484375,791.8569644245696,785.1781855528116,789.0083230433131,49646942
2023-05-19,788.481689453125,789.9658560394562,781.1326248446826,789.0083216684993,30460332
2023-05-22,785.6809692382812,791.3543491028732,781.6832161993159,787.5720763787239,28334032
2023-05-23,783.8375854492188,789.774310031499,782.0422085660649,789.487061418846,22470074
2023-05-24,773.592041015625,782.6646557954235,772.538718142512,779.2175554402136,33588112
2023-05-25,770.6237182617188,775.62687085873,764.7588197205333,773.5441866629621,29776930
2023-05-26,773.592041015625,775.1240726305493,767.1047222806039,775.1240726305493,26635066
2023-05-29,783.0237426757812,785.6569622323185,777.9248603912886,779.6723723310973,21816292
2023-05-30,783.6221923828125,786.4469304713781,779.696324831423,782.1140640569184,37125928
2023-05-31,771.2221069335938,782.7603843834687,768.2537737690359,780.3426451693598,43334270
2023-06-01,767.9425659179688,775.5549758597977,766.0274971750312,775.5549758597977,50366938
2023-06-02,769.1395263671875,773.1133176055869,766.5063067001975,771.9881679023533,17859710
2023-06-05,768.1340942382812,773.9271655706029,767.2004631482836,772.9696311869709,18697242
2023-06-06,765.740234375,770.7433279959911,762.3170373717256,769.6900635841799,32182852
2023-06-07,769.7139892578125,772.0360568877586,764.1124365028589,767.6792286969496,24949026
2023-06-08,770.1927490234375,778.4754447215801,767.5834912360843,767.5834912360843,37395522
2023-06-09,771.1024780273438,774.8847507794242,769.3789277124094,773.6399676877086,18212578
2023-06-12,766.4105834960938,773.5920917430839,765.7642009992537,772.0360982895694,13408292
2023-06-13,767.7031860351562,770.3364055694209,761.2876940266594,761.2876940266594,27926108
2023-06-14,766.8653564453125,771.772720205927,766.1232439139638,771.0306076745784,20113968
2023-06-15,757.4336547851562,768.8761438484094,755.9733914813049,767.9425712071014,35377476
2023-06-16,767.3441162109375,770.4321412189463,758.3672313699111,759.8753597118556,15779272
2023-06-19,768.0143432617188,772.8498798378108,765.2374703858508,771.2938865843043,24829146
2023-06-20,769.6182861328125,771.2939713592292,761.5510703742875,768.0144276761805,20005626
2023-06-21,783.0716552734375,783.8616328770374,771.2939933210611,773.6878294269613,24308946
2023-06-22,786.9017333984375,793.580570693625,784.7233777731387,785.1781832214814,56596140
2023-06-23,786.8538208007812,794.7056138469821,782.3294945543738,784.0051796001923,21339218
2023-06-26,783.0476684570312,790.3249060654587,779.7680665871447,787.571994837304,16130314
2023-06-27,794.0833129882812,800.929707728713,784.4840651290187,786.5905941784453,33831864
2023-06-28,802.4856567382812,804.2810337444777,794.9929383437692,799.5412267594668,59562950
2023-06-30,814.5745239257812,818.1174128864183,805.8848875767882,815.8193069543128,40699016
2023-07-03,823.3838500976562,841.4333500761821,818.6919081822313,819.8888261766497,44104116
2023-07-04,827.4053955078125,836.406241634242,820.5111950503219,825.1312514621555,38795188
2023-07-05,801.1212158203125,823.4796217067899,798.8470715161803,821.6842446245804,37165754
2023-07-06,801.93505859375,808.0872054143094,794.9450691746598,800.977524195429,52156544
2023-07-07,794.945068359375,801.9350577712964,792.9821345334826,797.1473857846021,19926336
2023-07-10,793.0538940429688,802.772891445225,789.8222154878739,795.2323081500037,38398442
2023-07-11,789.1998291015625,802.4137915457645,787.8113925946035,796.1898182223189,50670426
2023-07-12,781.8028564453125,797.7697889233564,779.0260418202364,792.5272531476065,70958358
2023-07-13,785.7047729492188,793.532604310247,784.2445681802172,793.1735289409957,41913546
2023-07-14,787.3326416015625,791.6894113288874,782.7843533101579,791.6894113288874,24727214
2023-07-17,803.80224609375,805.2864126924621,781.8268204083179,789.9658626293475,49252928
2023-07-18,803.1320190429688,815.8193504913376,799.5412648594681,812.9467471445371,81076818
2023-07-19,806.7705688476562,808.518080755261,801.935031985233,804.8555001145571,32935134
2023-07-20,808.51806640625,810.0740597242783,804.328853626943,804.8794475665894,56210948
2023-07-21,802.2941284179688,809.0208308967337,801.0972104283851,804.3288890002611,42154248
2023-07-24,803.5628662109375,806.555161158962,799.5890751426567,803.6107312414538,32179444
2023-07-25,812.2764282226562,813.4254812031791,803.5628884699448,806.555183500857,55992596
2023-07-26,809.45166015625,813.7126998116902,808.1590121278992,813.7126998116902,24794358
2023-07-27,801.0493774414062,815.3405671200665,798.3203692500316,813.8564004422645,59741302
2023-07-28,786.8538208007812,799.0145182505155,785.7047679378544,795.471629607848,41015684
2023-07-31,790.5404052734375,793.2215484430462,784.5558150613891,789.98986972854,34565006
2023-08-01,795.8307495117188,798.3203154846697,789.9658515231379,792.0963421090329,35394188
2023-08-02,785.4176025390625,790.6840418124119,781.8986752587043,786.1357533490648,28116322
2023-08-03,779.7442016601562,790.6121935791729,777.0391553272656,785.1781976196645,57673946
2023-08-04,791.0191040039062,793.0778262359121,780.0314207032054,782.856158727379,37388304
2023-08-07,790.5642700195312,796.2376491558498,788.7928549114002,796.2376491558498,28300918
2023-08-08,789.91796875,792.6469182530226,786.1596581385537,790.7797145936216,43773828
2023-08-09,790.2052612304688,792.1203300247262,780.917165889668,791.4021792268796,33361236
2023-08-10,783.1913452148438,792.0006737522444,780.8693358862994,788.5535731452575,50781118
2023-08-11,775.0283813476562,784.4122069559019,773.7835398495799,784.4122069559019,28225822
2023-08-14,771.2461547851562,773.2090887707817,766.1472720157544,771.2940198202658,31304410
